LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,0.0207968,-0.342309,1.073017,-0.74235,-0.0280832,0,0.0257216,-0.641121,1.130693,-0.480953,-0.0290832
0,0.0266208,-0.343795,1.074185,-0.745278,-0.0359872,0,0.0328752,-0.635956,1.131127,-0.483988,-0.0372544
0,0.0327088,-0.34572,1.076034,-0.748596,-0.0442816,0,0.0403184,-0.630417,1.131493,-0.487147,-0.0458016
0,0.0389536,-0.348118,1.078632,-0.752287,-0.0528304,0,0.0479168,-0.624587,1.131778,-0.490371,-0.054568
0,0.0452768,-0.351017,1.082031,-0.756336,-0.0615312,0,0.0555584,-0.618536,1.131972,-0.493617,-0.0634352
0,0.051616,-0.354437,1.086261,-0.760728,-0.070312,0,0.0631664,-0.61232,1.132071,-0.496853,-0.0723104
0,0.0579296,-0.358391,1.09134,-0.765451,-0.0791232,0,0.07068,-0.605985,1.132074,-0.500057,-0.081128
0,0.0641888,-0.362889,1.097272,-0.770491,-0.0879328,0,0.0780592,-0.599569,1.131985,-0.503211,-0.0898336
0,0.0703728,-0.367934,1.104051,-0.775831,-0.0967216,0,0.085272,-0.593101,1.131806,-0.506307,-0.0983952
0,0.0764704,-0.373525,1.111661,-0.781458,-0.1054768,0,0.0922992,-0.586605,1.131544,-0.509337,-0.1067872
0,0.0824752,-0.379657,1.120079,-0.787353,-0.1141952,0,0.0991296,-0.5801,1.131204,-0.512298,-0.1149904
0,0.088384,-0.386323,1.129276,-0.793498,-0.1228784,0,0.1057552,-0.573603,1.130791,-0.515187,-0.1229952
0,0.0941968,-0.39351,1.139217,-0.799873,-0.1315312,0,0.1121712,-0.567126,1.130311,-0.518005,-0.1307952
0,0.0999168,-0.401206,1.149865,-0.806458,-0.14016,0,0.1183776,-0.56068,1.12977,-0.520753,-0.1383856
0,0.1055472,-0.409395,1.161179,-0.81323,-0.1487712,0,0.1243728,-0.554274,1.129172,-0.523431,-0.1457632
0,0.1110928,-0.418061,1.173115,-0.820166,-0.1573728,0,0.1301632,-0.547916,1.128525,-0.526042,-0.1529296
0,0.1165584,-0.427184,1.185628,-0.827243,-0.1659744,0,0.1357472,-0.541613,1.127831,-0.528587,-0.1598848
0,0.121952,-0.436745,1.198672,-0.834437,-0.174584,0,0.1411312,-0.53537,1.127097,-0.53107,-0.166632
0,0.12728,-0.446724,1.212199,-0.841722,-0.183208,0,0.1463184,-0.529192,1.126327,-0.533492,-0.1731728
